1240,3,545000
3300,4,785000
3190,3,765000
2900,5,720000
1200,5,449500
780,2,248500
1770,4,675000
1530,2,730000
860,2,311000
960,2,660000
870,2,435000
1240,3,350000
1630,3,385000
930,2,235000
1300,3,350000
1820,4,1350000
1290,3,459900
1610,6,430000
2930,5,718000
1440,4,220000
2830,4,1500000
1200,3,140000
1720,4,200000
1150,4,475000
920,3,179000
1460,3,400000
1400,3,348125
1450,5,675000
1920,4,1000000
2320,3,447500
2040,4,345000
3020,3,275000
1010,3,529941
2290,3,685900
920,1,310000
890,2,299000
1720,5,630000
2170,4,883000
2450,4,510000
1830,3,448500
880,2,330000
1400,3,358000
1930,5,690000
2330,4,1518630
2310,3,627000
1330,4,451000
2260,4,453250
850,2,389000
1230,2,360000
2230,5,925000
3056,4,524225
1760,4,319000
1440,4,500000
2020,5,750000
2230,4,415000
2600,4,1445000
1610,3,270000
1250,3,350000
1870,4,659500
1180,3,245000
1310,3,290000
1200,4,430000
1380,3,637000
1810,5,362000
2240,4,495000
1260,3,585000
1770,4,630000
880,3,550000
1590,3,247200
1270,2,404500
1180,3,455000
1380,3,527500
3140,4,869950
860,3,535000
1520,3,1065500
1460,3,431000
1250,2,365000
1080,3,270000
3400,4,712000
1980,3,461000
1470,3,468000
2070,4,343000
1160,2,312000
1520,4,675000
1420,3,400000
1630,4,360000
1260,3,399950
2090,3,485000
2090,4,830000
770,3,500000
4750,4,1583000
1010,4,800000
3520,4,810000
1110,2,358500
2200,5,259875
900,2,334000
1170,4,249500
1820,4,722500
2100,3,323000
2290,4,660000
5130,5,1599950
1360,4,522000
1690,4,710000
1450,3,274000
2360,4,319000
1690,3,482500
2340,4,734000
3060,3,650000
3520,4,760000
1910,3,818000
910,2,425000
2450,5,345000
1690,3,460000
3710,4,965000
1330,3,400000
1870,3,933000
1340,4,411800
1230,4,475000
2740,4,630000
1200,3,450000
2990,4,675000
1550,3,280000
3100,4,950000
2120,4,319990
2100,4,207000
2100,3,700000
1490,3,253000
1080,3,552000
920,2,721000
2280,4,349000
3136,3,665000
2495,3,267000
1050,2,552000
2570,4,500000
1140,3,384000
1240,3,439950
1140,4,628000
1470,4,719000
1120,2,528000
3540,4,820000
1660,3,324500
2080,5,538888
1070,3,606000
670,2,175000
1100,3,194820
2815,5,477500
1050,2,123000
1540,3,376000
2550,5,970000
1250,3,550000
2850,4,680000
720,2,230000
1400,3,194000
1330,3,652000
2500,4,475000
1540,3,736000
410,1,325000
3640,5,555000
1657,2,546000
1710,2,332544
1000,1,641500
3040,4,700000
1240,5,333000
1490,3,585888
1120,3,305000
770,2,363000
1100,2,342500
1140,3,575000
2620,3,750000
1380,3,275000
1270,3,325000
2030,5,470000
970,3,680000
2150,4,350000
1250,3,210000
660,2,268500
3610,4,875909
1360,4,317500
4040,3,760000
1240,3,318000
6085,5,1610000
1980,4,243500
1140,3,430000
1310,4,862000
1050,6,230000
1440,3,313500
1100,3,392500
1010,3,402000
1000,3,478000
1780,4,1000000
2740,5,510000
1230,3,229500
1330,3,347000
1200,3,550000
1280,2,595000
1530,4,231000
1300,4,1099500
720,2,275500
1010,3,145000
890,3,154500
1760,3,552500
1450,3,249950
1350,2,335000
1690,3,215000
1400,5,294000
1710,3,1538000
1080,2,446000
2270,3,485000
1020,3,218000
1000,4,239900
3950,4,1780000
5710,4,930000
1050,2,163500
1610,3,690000
1670,4,675000
1250,3,405000
3490,4,960000
1650,5,449228
1790,4,375000
880,3,253000
1570,4,920000
2730,3,632000
1690,3,695000
2240,4,590000
1360,3,329500
1430,3,352450
1350,3,477000
970,2,210000
1500,4,457000
3370,5,1245000
1490,3,452000
